2012,Sport Utility Vehicle - 4WD,156
2013,Large Cars,89
2013,Two Seaters,66
2013,Compact Cars,179
2013,Midsize Cars,172
2013,Minivan - 2WD,12
2013,Minivan - 4WD,1
2013,Subcompact Cars,114
2013,Minicompact Cars,55
2013,Vans Cargo Type,19
2013,Small Station Wagons,46
2013,Vans Passenger Type,16
2013,Midsize Station Wagons,3
2013,Small Pickup Trucks 2WD,8
2013,Small Pickup Trucks 4WD,6
2013,Standard Pickup Trucks 2WD,30
2013,Standard Pickup Trucks 4WD,29
2013,Special Purpose Vehicle 2WD,6
2013,Special Purpose Vehicle 4WD,1
2013,Small Sport Utility Vehicle 2WD,70
2013,Small Sport Utility Vehicle 4WD,86
2013,Standard Sport Utility Vehicle 2WD,34
2013,Standard Sport Utility Vehicle 4WD,79
2014,Large Cars,98
2014,Two Seaters,89
2014,Compact Cars,191
2014,Midsize Cars,201
2014,Minivan - 2WD,13
2014,Minivan - 4WD,1
2014,Subcompact Cars,93
2014,Minicompact Cars,51
2014,Vans Cargo Type,18
2014,Small Station Wagons,35
2014,Vans Passenger Type,16
2014,Midsize Station Wagons,4
2014,Small Pickup Trucks 2WD,8
2014,Small Pickup Trucks 4WD,6
2014,Standard Pickup Trucks 2WD,22
2014,Standard Pickup Trucks 4WD,24
2014,Special Purpose Vehicle 2WD,11
2014,Special Purpose Vehicle 4WD,1
2014,Small Sport Utility Vehicle 2WD,72
2014,Small Sport Utility Vehicle 4WD,93
2014,Standard Sport Utility Vehicle 2WD,33
2014,Standard Sport Utility Vehicle 4WD,76
2015,Large Cars,107
2015,Two Seaters,93
2015,Compact Cars,199
2015,Midsize Cars,194
2015,Minivan - 2WD,13
2015,Minivan - 4WD,1
2015,Subcompact Cars,103
2015,Minicompact Cars,55
2015,Vans Cargo Type,4
2015,Small Station Wagons,34
2015,Vans Passenger Type,14
2015,Midsize Station Wagons,8
2015,Small Pickup Trucks 2WD,14
2015,Small Pickup Trucks 4WD,10
2015,Standard Pickup Trucks 2WD,19
2015,Standard Pickup Trucks 4WD,18
2015,Special Purpose Vehicle 2WD,16
2015,Special Purpose Vehicle 4WD,3
2015,Small Sport Utility Vehicle 2WD,79
2015,Small Sport Utility Vehicle 4WD,106
2015,Standard Sport Utility Vehicle 2WD,40
2015,Standard Sport Utility Vehicle 4WD,78
2016,Large Cars,107
2016,Two Seaters,79
2016,Compact Cars,194
2016,Midsize Cars,190
2016,Minivan - 2WD,10
2016,Minivan - 4WD,1
2016,Subcompact Cars,99
2016,Minicompact Cars,52
2016,Small Station Wagons,35
2016,Vans Passenger Type,6
2016,Midsize Station Wagons,9
